Domain,Subset,Mode,N_Partitions,Sweep_Set,Region_Index,Region_Label,Cutoff_Count,Expected_Cells,Eval_Cells,Finite_Value_Cells,Primary_Eligible_Cells,Finite_Eligible_Cells,Finite_Eligible_Eval_Pct,Positive_Cells,Positive_Eval_Pct,Negative_Cells,Negative_Eval_Pct,Zero_Cells,Large_Positive_Cells,Large_Positive_Eval_Pct,Large_Positive_Eligible_Pct,Large_Negative_Cells,Large_Negative_Eval_Pct,Large_Negative_Eligible_Pct,Mean_Value,Median_Value
Brite,All,Period1_2015_2017,6,finite99,3,bin 3/6: low-to-middle signed-cutoff region,34,3366,3366,3366,3366,3366,100.000000,818,24.301842,2325,69.073084,223,737,21.895425,21.895425,2314,68.746286,68.746286,-0.469683,-1.000000
Brite,All,Period1_2015_2017,6,finite99,4,bin 4/6: high signed-tail side,33,3267,3267,3267,3267,3267,100.000000,1196,36.608509,1826,55.892256,245,0,0.000000,0.000000,0,0.000000,0.000000,-0.015895,-0.017361
Brite,All,Period1_2015_2017,6,finite99,5,bin 5/6: high signed-tail side,33,3267,3267,3267,3267,3267,100.000000,1724,52.770125,1296,39.669421,247,225,6.887052,6.887052,169,5.172942,5.172942,0.043126,0.013889
Brite,All,Period1_2015_2017,6,finite99,6,bin 6/6: high signed-tail side,33,3267,3267,3267,3267,3267,100.000000,0,0.000000,3017,92.347720,250,0,0.000000,0.000000,2782,85.154576,85.154576,-0.784675,-0.965278
Brite,All,Period2_2018_2020,6,finite99,1,bin 1/6: low signed-tail side,33,3267,3267,3267,3267,3267,100.000000,0,0.000000,2906,88.950107,361,0,0.000000,0.000000,2906,88.950107,88.950107,-0.889195,-1.000000
Brite,All,Period2_2018_2020,6,finite99,2,bin 2/6: low signed-tail side,33,3267,3267,3267,3267,3267,100.000000,0,0.000000,2905,88.919498,362,0,0.000000,0.000000,2905,88.919498,88.919498,-0.889195,-1.000000
Brite,All,Period2_2018_2020,6,finite99,3,bin 3/6: low-to-middle signed-cutoff region,34,3366,3366,3366,3366,3366,100.000000,719,21.360665,2361,70.142602,286,585,17.379679,17.379679,2360,70.112894,70.112894,-0.525711,-1.000000
Brite,All,Period2_2018_2020,6,finite99,4,bin 4/6: high signed-tail side,33,3267,3267,3267,3267,3267,100.000000,930,28.466483,2139,65.472911,198,0,0.000000,0.000000,0,0.000000,0.000000,-0.023771,-0.024306
Brite,All,Period2_2018_2020,6,finite99,5,bin 5/6: high signed-tail side,33,3267,3267,3267,3267,3267,100.000000,1109,33.945516,1960,59.993878,198,0,0.000000,0.000000,0,0.000000,0.000000,-0.009606,-0.017361
Brite,All,Period2_2018_2020,6,finite99,6,bin 6/6: high signed-tail side,33,3267,3267,3267,3267,3267,100.000000,1761,53.902663,1213,37.128864,293,429,13.131313,13.131313,58,1.775329,1.775329,0.145703,0.090278
Brite,PM,Combo6yr,6,finite99,1,bin 1/6: low signed-tail side,33,3267,3267,3267,3267,3267,100.000000,0,0.000000,2739,83.838384,528,0,0.000000,0.000000,2739,83.838384,83.838384,-0.838384,-1.000000
Brite,PM,Combo6yr,6,finite99,2,bin 2/6: low signed-tail side,33,3267,3267,3267,3267,3267,100.000000,0,0.000000,2789,85.368840,478,0,0.000000,0.000000,2789,85.368840,85.368840,-0.853535,-1.000000
Brite,PM,Combo6yr,6,finite99,3,bin 3/6: low-to-middle signed-cutoff region,34,3366,3366,3366,3366,3366,100.000000,704,20.915033,2288,67.973856,374,663,19.696970,19.696970,2217,65.864528,65.864528,-0.465348,-1.000000
Brite,PM,Combo6yr,6,finite99,4,bin 4/6: high signed-tail side,33,3267,3267,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,,0,0.000000,,,
Brite,PM,Combo6yr,6,finite99,5,bin 5/6: high signed-tail side,33,3267,3267,2475,2357,2357,72.145699,1015,31.068258,675,20.661157,667,540,16.528926,22.910479,109,3.336394,4.624523,0.121805,0.000000
Brite,PM,Combo6yr,6,finite99,6,bin 6/6: high signed-tail side,33,3267,3267,3267,3251,3251,99.510254,0,0.000000,2582,79.032752,669,0,0.000000,0.000000,2580,78.971534,79.360197,-0.790667,-1.000000
Brite,PM,Period1_2015_2017,6,finite99,1,bin 1/6: low signed-tail side,33,3267,3267,3267,3267,3267,100.000000,0,0.000000,2768,84.726048,499,0,0.000000,0.000000,2768,84.726048,84.726048,-0.846648,-1.000000
Brite,PM,Period1_2015_2017,6,finite99,2,bin 2/6: low signed-tail side,33,3267,3267,3267,3267,3267,100.000000,0,0.000000,2906,88.950107,361,0,0.000000,0.000000,2906,88.950107,88.950107,-0.889348,-1.000000
Brite,PM,Period1_2015_2017,6,finite99,3,bin 3/6: low-to-middle signed-cutoff region,34,3366,3366,3366,3366,3366,100.000000,810,24.064171,2268,67.379679,288,715,21.241830,21.241830,2182,64.824718,64.824718,-0.434129,-1.000000
Brite,PM,Period1_2015_2017,6,finite99,4,bin 4/6: high signed-tail side,33,3267,3267,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,,0,0.000000,,,
Brite,PM,Period1_2015_2017,6,finite99,5,bin 5/6: high signed-tail side,33,3267,3267,2475,2357,2357,72.145699,1019,31.190695,660,20.202020,678,444,13.590450,18.837505,110,3.367003,4.666950,0.111839,0.000000
Brite,PM,Period1_2015_2017,6,finite99,6,bin 6/6: high signed-tail side,33,3267,3267,3267,3250,3250,99.479645,0,0.000000,2594,79.400061,656,0,0.000000,0.000000,2592,79.338843,79.753846,-0.793404,-1.000000
Brite,PM,Period2_2018_2020,6,finite99,1,bin 1/6: low signed-tail side,33,3267,3267,3267,3267,3267,100.000000,0,0.000000,2739,83.838384,528,0,0.000000,0.000000,2739,83.838384,83.838384,-0.837772,-1.000000
Brite,PM,Period2_2018_2020,6,finite99,2,bin 2/6: low signed-tail side,33,3267,3267,3267,3267,3267,100.000000,0,0.000000,2738,83.807775,529,0,0.000000,0.000000,2738,83.807775,83.807775,-0.837925,-1.000000
Brite,PM,Period2_2018_2020,6,finite99,3,bin 3/6: low-to-middle signed-cutoff region,34,3366,3366,3366,3366,3366,100.000000,605,17.973856,2346,69.696970,415,589,17.498515,17.498515,2256,67.023173,67.023173,-0.494314,-1.000000
Brite,PM,Period2_2018_2020,6,finite99,4,bin 4/6: high signed-tail side,33,3267,3267,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,,0,0.000000,,,
Brite,PM,Period2_2018_2020,6,finite99,5,bin 5/6: high signed-tail side,33,3267,3267,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,,0,0.000000,,,
Brite,PM,Period2_2018_2020,6,finite99,6,bin 6/6: high signed-tail side,33,3267,3267,2376,2237,2237,68.472605,368,11.264157,1313,40.189777,556,2,0.061218,0.089405,875,26.782981,39.114886,-0.399835,-0.083333
Brite,SM,Combo6yr,6,finite99,1,bin 1/6: low signed-tail side,33,3267,3267,3267,3267,3267,100.000000,0,0.000000,2761,84.511785,506,0,0.000000,0.000000,2761,84.511785,84.511785,-0.844812,-1.000000
Brite,SM,Combo6yr,6,finite99,2,bin 2/6: low signed-tail side,33,3267,3267,3267,3267,3267,100.000000,0,0.000000,2798,85.644322,469,0,0.000000,0.000000,2798,85.644322,85.644322,-0.856443,-1.000000
Brite,SM,Combo6yr,6,finite99,3,bin 3/6: low-to-middle signed-cutoff region,34,3366,3366,3366,3366,3366,100.000000,707,21.004159,2297,68.241236,362,698,20.736780,20.736780,2295,68.181818,68.181818,-0.485923,-1.000000
Brite,SM,Combo6yr,6,finite99,4,bin 4/6: high signed-tail side,33,3267,3267,3267,3267,3267,100.000000,1678,51.362106,1324,40.526477,265,0,0.000000,0.000000,0,0.000000,0.000000,-0.003236,0.000000
Brite,SM,Combo6yr,6,finite99,5,bin 5/6: high signed-tail side,33,3267,3267,3267,3267,3267,100.000000,2576,78.849097,373,11.417202,318,465,14.233242,14.233242,16,0.489746,0.489746,0.206532,0.145833
Brite,SM,Combo6yr,6,finite99,6,bin 6/6: high signed-tail side,33,3267,3267,3267,3267,3267,100.000000,2038,62.381390,960,29.384757,269,588,17.998163,17.998163,5,0.153046,0.153046,0.181222,0.076389
Brite,SM,Period1_2015_2017,6,finite99,1,bin 1/6: low signed-tail side,33,3267,3267,3267,3267,3267,100.000000,78,2.387511,2511,76.859504,678,10,0.306091,0.306091,2511,76.859504,76.859504,-0.742288,-1.000000
Brite,SM,Period1_2015_2017,6,finite99,2,bin 2/6: low signed-tail side,33,3267,3267,3267,3267,3267,100.000000,298,9.121518,2406,73.645546,563,201,6.152433,6.152433,2246,68.748087,68.748087,-0.586413,-0.937500
Brite,SM,Period1_2015_2017,6,finite99,3,bin 3/6: low-to-middle signed-cutoff region,34,3366,3366,3366,3366,3366,100.000000,406,12.061794,2572,76.411171,388,274,8.140226,8.140226,2414,71.717172,71.717172,-0.598848,-0.979167
Brite,SM,Period1_2015_2017,6,finite99,4,bin 4/6: high signed-tail side,33,3267,3267,3267,3267,3267,100.000000,1375,42.087542,1686,51.606979,206,0,0.000000,0.000000,0,0.000000,0.000000,-0.009564,-0.010417
Brite,SM,Period1_2015_2017,6,finite99,5,bin 5/6: high signed-tail side,33,3267,3267,3267,3267,3267,100.000000,2092,64.034282,890,27.242118,285,336,10.284665,10.284665,83,2.540557,2.540557,0.128833,0.062500
Brite,SM,Period1_2015_2017,6,finite99,6,bin 6/6: high signed-tail side,33,3267,3267,3267,3267,3267,100.000000,530,16.222834,2468,75.543312,269,72,2.203857,2.203857,1740,53.259871,53.259871,-0.406066,-0.500000
Brite,SM,Period2_2018_2020,6,finite99,1,bin 1/6: low signed-tail side,33,3267,3267,3267,3267,3267,100.000000,0,0.000000,2805,85.858586,462,0,0.000000,0.000000,2805,85.858586,85.858586,-0.858586,-1.000000
Brite,SM,Period2_2018_2020,6,finite99,2,bin 2/6: low signed-tail side,33,3267,3267,3267,3267,3267,100.000000,0,0.000000,2805,85.858586,462,0,0.000000,0.000000,2805,85.858586,85.858586,-0.858586,-1.000000
Brite,SM,Period2_2018_2020,6,finite99,3,bin 3/6: low-to-middle signed-cutoff region,34,3366,3366,3366,3366,3366,100.000000,786,23.351159,2209,65.626857,371,683,20.291147,20.291147,2198,65.300059,65.300059,-0.427026,-0.986111
Brite,SM,Period2_2018_2020,6,finite99,4,bin 4/6: high signed-tail side,33,3267,3267,3267,3267,3267,100.000000,1329,40.679522,1740,53.259871,198,0,0.000000,0.000000,0,0.000000,0.000000,-0.011249,-0.017361
Brite,SM,Period2_2018_2020,6,finite99,5,bin 5/6: high signed-tail side,33,3267,3267,3267,3267,3267,100.000000,1829,55.984083,1208,36.975819,230,0,0.000000,0.000000,0,0.000000,0.000000,0.006936,0.010417
Brite,SM,Period2_2018_2020,6,finite99,6,bin 6/6: high signed-tail side,33,3267,3267,3267,3267,3267,100.000000,2221,67.982859,701,21.456994,345,768,23.507805,23.507805,12,0.367309,0.367309,0.258261,0.277778
Formula,All,Combo6yr,6,finite99,1,bin 1/6: low signed-tail side,33,3267,3267,3267,3267,3267,100.000000,0,0.000000,3044,93.174166,223,0,0.000000,0.000000,3044,93.174166,93.174166,-0.927297,-1.000000
