Formula,High-EI 2014,High-EI 2015,High-EI 2016,High-EI 2017,High-EI 2018,High-EI 2019,High-EI 2020,Low-EI 2015,Low-EI 2016,Low-EI 2017,Low-EI 2018,Low-EI 2019,Low-EI 2020,KEGG ID,PC4 loadings
C27H30O17,37471,33622,15912,0,86944.3333333333,100925,121183.333333333,27426,10177.5,0,50757.5,71667.6666666667,98894,C12667,0.0467004637
C33H41O21,0,0,0,0,376105,0,0,0,0,0,20312.3333333333,0,0,C08629,0.0472858147
C15H20O4,0,0,0,0,27104,9870.3333333333,36577.6666666667,0,0,0,20901,11339.1666666667,17836.3333333333,C06082 | C09291 | C09304 | C09349 | C09355 | C09381 | C09453 | C09456 | C09470 | C09481 | C09498 | C09506 | C09530 | C09531 | C09540 | C09542 | C09574 | C09600 | C09683 | C09688 | C09708 | C10766 | C11060 | C20399 | C20402,0.0478380537
C8H14O,0,0,886,0,0,13108.3333333333,0,0,946,0,0,4786.3333333333,0,C07287 | C21138,0.0486935767
C23H24O6,0,6062,0,0,21006.5,18620,8680.3333333333,0,0,0,17374,18581.3333333333,0,C10063,0.0490081134
C26H35NO11,0,0,0,0,0,0,4407,0,0,0,0,0,1835,C21566,0.0491820938
C14H16O4,0,0,0,0,22590.5,11919.7777777778,11075.8333333333,0,0,0,2087.6666666667,4978.1111111111,13464.1666666667,C10487 | C12456 | C16788 | C20426,0.0493291522
C7H8O3,0,0,0,0,4411.8333333333,5133.1666666667,0,0,0,0,2146.1666666667,2963.3333333333,0,C03338 | C10792 | C14110 | C16401 | C18317 | C20362,0.0496828883
C3H10NO3P,0,0,0,0,5451.3333333333,9797,0,0,0,0,2780.3333333333,5571.6666666667,0,C05679,0.0498468696
C10H10O3,0,0,0,0,8770.4444444445,10771.6666666667,12690.5,0,0,0,5754.2222222222,5184.5,9389.5,C01624 | C02666 | C10667 | C14784 | C20327 | C20646,0.0499838663
C22H31NO6,0,0,0,0,44872.6666666667,0,64044.3333333333,0,0,0,15737,0,34380.3333333333,C08690,0.0501972849
C30H27O13,0,0,0,0,4407,0,0,0,0,0,0,0,0,C12095 | C16297,0.0502161521
C25H32O9,0,0,0,0,4820,0,0,0,0,0,0,0,0,C11132,0.0502161521
C17H16O7,0,0,0,0,2996.6666666667,0,0,0,0,0,0,0,0,C00495,0.0502161521
C20H22N7O6,0,0,0,0,1409.3333333333,0,0,0,0,0,0,0,0,C00445,0.0502161521
C17H26O5,0,0,0,0,1335.3333333333,0,0,0,0,0,0,0,0,C09622,0.0502161521
C28H29N3OF2,0,0,0,10055,30179.3333333333,0,56991,0,0,8941,21076.3333333333,0,24308.6666666667,C07566,0.0504858997
C6H9NO4,0,0,0,0,0,0,3575,0,0,0,0,0,1413,C00651 | C03623,0.051476522
C12H18O,0,0,0,0,6359.3333333333,8510.3333333333,12188.6666666667,0,0,0,6102.6666666667,5895.6666666667,6898.3333333333,C07523 | C14465,0.0519625602
C26H28O14,239703.5,297164.5,175055,127903,1311703,1140310.33333333,1873087.66666667,51764.5,156951.5,144533.666666667,1186076.33333333,795639,1070952,C04858 | C10110 | C10181 | C16491 | C16803,0.0524027496
C22H24O6,0,0,0,0,0,3841.3333333333,12444.3333333333,0,0,0,0,4479.3333333333,5767.3333333333,C10893,0.0533443929
C9H17NO2,0,0,0,0,0,0,11028.6666666667,0,0,0,0,0,4165.6666666667,C07018,0.0533861568
C8H7NO,0,0,0,0,16318.5555555556,18212.5555555556,44178.5,0,0,0,11803,28272.2222222222,20236.1666666667,C00561 | C02040 | C02615 | C03766 | C05658 | C12312,0.0540201995
C11H16O2,1756.75,65.25,2098,0,67108,242543,163093.5,346.75,0,0,133258,70938,82341.5,C03929,0.0540269029
C13H20O2,38471,0,0,0,52301.5,37733.6666666667,28415.7777777778,5149,0,0,22533.8333333333,12447,24138.4444444444,C14236,0.0549744298
C17H24O5,0,0,0,0,0,7189,0,0,0,0,0,729,0,C09483 | C09638,0.0556146372
C9H17N,0,0,0,0,0,2004.6666666667,0,0,0,0,0,0,0,C10165,0.0573426733
C13H27NO2,0,0,0,0,0,3451.6666666667,0,0,0,0,0,0,0,C13795,0.0573426733
C17H24O3,0,0,0,0,0,5493.3333333333,0,0,0,0,0,0,0,C09623 | C10494 | C17506 | C20000,0.0573426733
C21H20O9,0,0,0,0,0,0,10822,0,0,0,0,0,3689,C10216 | C10316 | C10346 | C10524 | C15580,0.057410072
C10H12O,0,0,0,0,14639.3333333333,26870,0,0,0,0,5896.6666666667,11317,0,C06577 | C10428 | C10452 | C14309 | C17965,0.0574531635
C33H45NO11,20233,0,0,16995,52281.6666666667,0,59908.3333333333,0,0,0,20011.6666666667,0,27609.3333333333,C08698,0.0584966411
C21H24O10,0,0,0,0,13615.3333333333,8508,11500.3333333333,0,0,0,5271.6666666667,6217.3333333333,7712.3333333333,C01604,0.0587498322
C2H6O3PCl,2627,2704,5712.3333333333,812,638.6666666667,0,63703.3333333333,2201,21283,4640.3333333333,129.3333333333,0,19554,C18399,0.0591211819
C12H19NO2S2,0,0,0,0,16943,0,139018,10716,0,0,14151.6666666667,0,45196.3333333333,C10849,0.0599155764
C13H18O2,13950,0,0,0,24000.6666666667,21390,8108.1111111111,0,0,0,4930.8333333333,4690.6666666667,9866.3333333333,C01588 | C02185,0.0619073589
C20H24O6,0,0,0,0,21251.8888888889,16108,28271.2222222222,0,0,0,9961.5555555556,6932.8333333333,17002,C09204 | C09449 | C09452 | C09513 | C09514 | C10646 | C14289 | C20454,0.062535093
C11H16O4,0,0,0,0,6599.2222222222,7877.6666666667,12813.3333333333,0,0,0,2672.7777777778,1623.6666666667,8188,C20790,0.0629318956
C9H10O3,0,0,0,0,3307,1819.6666666667,0,0,0,0,737,0,0,C01198 | C01456 | C01744 | C02201 | C02363 | C03080 | C05581 | C05607 | C10712 | C11380 | C11457 | C12206,0.0629805519
C11H14O4,0,0,0,0,37186.1666666667,29928.8333333333,40899,0,0,0,16328.8333333333,14288.8333333333,26102.8333333333,C02325 | C07350 | C10709,0.0631044435
C17H23N4O11P,0,0,0,0,0,0,16459.6666666667,0,0,0,0,0,4551.3333333333,C22379,0.0644394465
C22H24O7,0,0,0,0,2325.6666666667,4331,11194.6666666667,0,0,0,6299,7797.3333333333,0,C10557 | C17845,0.0657249391
C13H20O,0,0,0,0,9334.1111111111,8558.3333333333,4879.3333333333,0,0,0,1917.8888888889,826.8333333333,4625.8333333333,C12286 | C12287 | C14698,0.0675551032
C19H20O6,0,0,0,0,0,0,11820,0,0,0,0,0,2750,C09353 | C09388 | C10338 | C15118,0.0691884785
C33H40O21,321324,262910.5,359420,252455,1483580,621630,0,232554.5,303423,274770.5,65484.3333333333,178397,0,C12635,0.0698474422
C9H8O,0,0,0,0,13335.6666666667,2490,7534.3333333333,0,0,0,4981.3333333333,3807.3333333333,1072,C00903 | C01504 | C07727 | C16592,0.0719360037
C11H18O2,0,0,0,0,0,0,5363,0,0,0,0,0,1093.6666666667,C12294 | C14113,0.0722646426
C21H23NO7,0,0,0,0,0,0,30512.5,0,0,0,0,0,6047.6666666667,C21599 | C21600,0.0728734969
C21H22O7,0,0,0,0,12907.3333333333,9235,17945.3333333333,0,0,0,3432,2181.3333333333,9639.3333333333,C09270 | C09284 | C09307 | C09310 | C14948 | C21184,0.0751744892
C13H16O8,0,0,0,0,0,0,6273.3333333333,0,0,0,0,0,1025.3333333333,C03993,0.0765344373
C9H6O4,0,0,0,0,8864.3333333333,14917,16305.6666666667,0,0,0,5667.3333333333,12997,4949.3333333333,C03093 | C09001 | C09263 | C16828,0.0769800953
C4H6O6,0,0,0,0,0,0,4543.6666666667,0,0,0,0,0,708.3333333333,C00552 | C00898 | C02107,0.0773204781
C14H21NO8,11834,0,0,0,7062.6666666667,17115,8673.3333333333,0,0,0,4372.6666666667,3510,3350,C03996,0.0774378953
C19H32O8,52312.5,12871.5,22319,35419,56425.4444444445,52460.5,56987.3333333333,9438,0,14858,21592.2222222222,15282.3333333333,38964,C17452,0.079230006
C13H13N3,0,6207.5,0,0,0,0,14825.3333333333,5483.5,0,0,0,0,0,C19306,0.0804066781
C8H10N4O3,0,0,0,0,19581.3333333333,4117.3333333333,6662.6666666667,0,0,0,0,8104.3333333333,0,C16361,0.081204564
C13H22O,0,0,0,0,35054.3333333333,20901.3333333333,18260,0,0,0,4360.6666666667,6965.3333333333,10205.6666666667,C03527,0.0819970678
C8H11NO3,0,0,0,0,0,11943.3333333333,5775.6666666667,0,0,0,0,5511.3333333333,0,C00314 | C00547,0.0834723043
C13H18O7,0,0,0,0,4117.3333333333,5637.3333333333,7135.3333333333,0,0,0,772.3333333333,7015.6666666667,1417.6666666667,C01451 | C16964 | C17599,0.0844542062
C20H22O6,0,0,0,0,47235.6666666667,42196,46614.3333333333,0,0,0,20699.3333333333,11372.6666666667,18805,C05366 | C08831 | C09077 | C09515 | C09516 | C10317 | C10558 | C10682 | C17414 | C17508 | C17808 | C20455,0.0848982174
C19H18O10,0,0,0,0,8452.6666666667,0,3603.3333333333,0,0,0,0,0,0,C10075,0.0850905647
C7H6O4,0,0,0,0,0,0,7489.6666666667,0,0,0,0,0,581.3333333333,C00196 | C00230 | C00628 | C16748 | C21298,0.0852373053
C42H46O23,39376,11533,0,20526,35989.8333333333,30096,20458.5,6272,0,15330,4068.1666666667,1604,7758.6666666667,C12636,0.0879559359
C16H24O7,0,0,0,0,0,0,83184,0,0,0,0,0,3942.6666666667,C09965,0.0881594482
C6H8O4,11843.5,12781.5,8224,16651,0,0,48561,7199.5,8990,0,0,0,0,C00922 | C01757 | C02295 | C02930 | C19821 | C19822 | C19826,0.0897780751
C13H16N2O4,0,0,0,0,0,0,55726.3333333333,0,0,0,0,0,1371.3333333333,C04148 | C05642,0.0903057151
C20H24N3SCl,0,0,0,0,0,7262,12803.3333333333,0,0,0,0,4503.3333333333,2079.6666666667,C07403,0.0922959944
C6H14N2O,0,0,0,0,0,0,19612,0,0,0,0,0,0,C02714 | C19279,0.0925642499
C11H8O4,0,0,0,0,0,0,7890,0,0,0,0,0,0,C03657 | C06986 | C10335 | C14093 | C17018,0.0925642499
C18H14O8,0,0,0,0,0,0,7999.3333333333,0,0,0,0,0,0,C20507,0.0925642499
C18H35NO2,0,0,0,0,0,0,3208.6666666667,0,0,0,0,0,0,C06121 | C10136 | C11124,0.0925642499
C9H17NO3,0,0,0,0,0,0,3576.6666666667,0,0,0,0,0,0,C01092 | C12029,0.0925642499
C13H21NO,0,0,0,0,0,0,4200.3333333333,0,0,0,0,0,0,C09872,0.0925642499
C6H6N2O2,0,0,0,0,0,0,5697,0,0,0,0,0,0,C00785 | C02126 | C19345,0.0925642499
C8H16N2O3,0,0,0,0,0,0,7173.6666666667,0,0,0,0,0,0,C02155 | C02727 | C03846 | C12989 | C21604,0.0925642499
C14H14O7,0,0,0,0,0,0,7847,0,0,0,0,0,0,C17017,0.0925642499
C21H18O11,0,0,0,0,0,0,8212,0,0,0,0,0,0,C10025,0.0925642499
C17H18O5,0,0,0,0,0,0,6380.3333333333,0,0,0,0,0,0,C09807 | C10495 | C10507,0.0925642499
C20H22O4,0,0,0,0,18657,5708.6666666667,13686.3333333333,0,0,0,357,0,4803.3333333333,C09002 | C09031 | C09976 | C10550 | C10650,0.092605256
C21H24O7,0,0,0,0,12066,6374,8254.3333333333,0,0,0,276.6666666667,534,3476.3333333333,C09059 | C09260 | C09316 | C10891,0.0946357171
C6H9NO,0,0,0,0,46289,5171,62794.8333333333,0,0,0,7571.6666666667,10467.3333333333,9579.5,C19548,0.0949654105
C20H20O5,0,0,0,0,5402,0,8178.3333333333,0,0,0,163.3333333333,0,0,C09753 | C09832 | C10418 | C10616 | C15509 | C15510 | C16416 | C18023,0.1084029904
C10H12,0,0,0,0,8215,11040.1111111111,18110,0,0,0,5694.3333333333,6027.4444444445,0,C14114 | C14411,0.1096222736
