"","Carbohydrate metabolism","Lipid/glycolipid metabolism","Nucleotide metabolism","Amino acid metabolism","Glycan/glycoprotein metabolism","Cofactor/vitamin metabolism","Replication and repair","Signal transduction","Cellular process","Immune system","Endocrine system"
"C16H26O3",0,0,0,0,0,0,0,0,0,0,0
"C10H12O3",0,0,0,0,0,0,0,0,0,0,0
"C21H26O7",0,0,0,0,0,0,0,0,0,0,0
"C5H5N5",0,0,1,0,0,0,0,0,0,0,0
"C32H26O14",0,0,0,0,0,0,0,0,0,0,0
"C20H12O5",0,0,0,0,0,0,0,0,0,0,0
"C15H10O5",0,0,0,0,0,0,0,0,0,0,0
"C8H8O3",0,1,0,1,1,1,1,1,1,1,1
"C9H10",0,0,0,0,0,0,0,0,0,0,0
"C27H35N5O8",0,0,0,0,0,0,0,0,0,0,0
"C11H10O4",0,0,0,0,0,0,0,0,0,0,0
"C8H13NO4",0,0,0,0,0,0,0,0,0,0,0
"C15H16N4O",0,0,0,0,0,0,0,0,0,0,0
"C6H11NO2",0,0,0,0,0,0,0,0,0,0,0
"C15H14O8",0,0,0,0,0,0,0,0,0,0,0
"C7H8O",0,0,0,0,0,0,0,0,0,0,0
"C10H17N3O6S",0,0,0,1,0,0,0,1,1,0,0
"C15H18O3",0,0,0,0,0,0,0,0,0,0,0
"C13H18O4",0,0,0,0,0,0,0,0,0,0,0
"C9H8O4",0,0,0,0,0,0,0,0,0,0,0
"C6H8O",0,0,0,0,0,0,0,0,0,0,0
"C25H22O10",0,0,0,0,0,0,0,0,0,0,0
"C7H13NO",0,0,0,0,0,0,0,0,0,0,0
"C9H14N5O7P",0,0,0,0,0,0,0,0,0,0,0
"C12H22O4",0,0,0,0,0,0,0,0,0,0,0
"C12H22O2",0,0,0,0,0,0,0,0,0,0,0
"C6H6O4",0,0,0,0,0,0,0,0,0,0,0
"C11H12O3",0,0,0,0,0,0,0,0,0,0,0
"C4H4O3",0,0,0,0,0,0,0,0,0,0,0
"C15H10O7",0,0,0,0,0,0,0,0,0,0,0
"C15H24O3",0,0,0,0,0,0,0,0,0,0,0
"C12H18O4",0,0,0,0,0,0,0,0,0,0,0
"C19H22O5",0,0,0,0,0,0,0,0,0,0,0
"C12H17N3O6SCl2",0,0,0,0,0,0,0,0,0,0,0
"C10H14",0,0,0,0,0,0,0,0,0,0,0
"C33H40O22",0,0,0,0,0,0,0,0,0,0,0
"C17H27N5O4",0,0,0,0,0,0,0,0,0,0,0
